"X","X.","Família","Espécie.ou.Subespécie.Variedade","Categoria"
90,"","Anisophylleaceae","Anisophyllea manausensis","VU"
91,"","Annonaceae","Annona angustifolia","EN"
92,"","Annonaceae","Annona ferruginea","CR"
93,"","Annonaceae","Annona gardneri","EN"
94,"*","Annonaceae","Annona parviflora","VU"
95,"","Annonaceae","Bocagea viridis","VU"
96,"","Annonaceae","Cymbopetalum euneurum","EN"
97,"","Annonaceae","Duguetia bahiensis","VU"
98,"","Annonaceae","Duguetia duckei","EN"
99,"*","Annonaceae","Duguetia magnolioidea","EN"
100,"","Annonaceae","Duguetia microphylla","EN"
101,"","Annonaceae","Duguetia pohliana","EN"
102,"*","Annonaceae","Duguetia restingae","CR"
103,"","Annonaceae","Duguetia rotundifolia","VU"
104,"*","Annonaceae","Duguetia scottmorii","EN"
105,"*","Annonaceae","Duguetia sooretamae","EN"
106,"","Annonaceae","Duguetia subcordata","EN"
107,"","Annonaceae","Guatteria attenuata","CR"
108,"","Annonaceae","Guatteria hispida","EN"
109,"","Annonaceae","Guatteria latifolia","EN"
110,"","Annonaceae","Guatteria stenocarpa","EN"
111,"*","Annonaceae","Hornschuchia alba","CR"
112,"*","Annonaceae","Hornschuchia cauliflora","EN"
113,"","Annonaceae","Hornschuchia leptandra","EN"
114,"","Annonaceae","Hornschuchia lianarum","EN"
115,"","Annonaceae","Hornschuchia myrtillus","VU"
116,"*","Annonaceae","Hornschuchia obliqua","EN"
117,"","Annonaceae","Hornschuchia santosii","EN"
119,"","Annonaceae","Pseudoxandra bahiensis","VU"
120,"","Annonaceae","Pseudoxandra spiritus-sancti","EN"
121,"*","Annonaceae","Trigynaea axilliflora","EN"
122,"*","Annonaceae","Trigynaea oblongifolia","EN"
123,"","Annonaceae","Unonopsis aurantiaca","EN"
124,"","Annonaceae","Unonopsis bauxitae","CR"
125,"*","Annonaceae","Unonopsis riedeliana","EN"
126,"","Annonaceae","Unonopsis sanctae-teresae","CR"
127,"","Annonaceae","Xylopia atlantica","EN"
128,"","Annonaceae","Xylopia brasiliensis","VU"
129,"","Annonaceae","Xylopia decorticans","EN"
130,"","Annonaceae","Xylopia involucrata","VU"
131,"","Annonaceae","Xylopia trichostemon","VU"
132,"*","Apiaceae","Eryngium corallinum","CR"
133,"*","Apiaceae","Eryngium divaricatum","EN"
134,"*","Apiaceae","Eryngium dorae","CR"
135,"*","Apiaceae","Eryngium falcifolium","EN"
136,"","Apiaceae","Eryngium fluminense","VU"
137,"*","Apiaceae","Eryngium koehneanum","VU"
138,"*","Apiaceae","Eryngium ombrophilum","EN"
139,"*","Apiaceae","Eryngium ramboanum","CR"
140,"*","Apiaceae","Eryngium scirpinum","EN"
141,"*","Apiaceae","Eryngium smithii","EN"
142,"*","Apiaceae","Eryngium urbanianum","EN"
143,"*","Apiaceae","Eryngium zosterifolium","VU"
144,"*","Apiaceae","Klotzschia rhizophylla","EN"
145,"*","Apiaceae","Lilaeopsis brasiliensis","VU"
146,"","Apocynaceae","Aspidosperma auriculatum","EN"
147,"","Apocynaceae","Aspidosperma castroanum","EN"
148,"","Apocynaceae","Aspidosperma confertiflorum","EN"
149,"","Apocynaceae","Aspidosperma formosanum","EN"
150,"","Apocynaceae","Aspidosperma huberianum","EN"
151,"","Apocynaceae","Aspidosperma nigricans","EN"
152,"","Apocynaceae","Aspidosperma obscurinervium","EN"
153,"","Apocynaceae","Aspidosperma occidentale","EN"
154,"","Apocynaceae","Aspidosperma oliganthum","EN"
155,"","Apocynaceae","Aspidosperma parvifolium","EN"
156,"","Apocynaceae","Aspidosperma rizzoanum","EN"
157,"","Apocynaceae","Aspidosperma salgadense","EN"
158,"","Apocynaceae","Aspidosperma thomasii","EN"
